,compound,text_len
0,0.8316,92
1,0.8316,92
2,0.8316,92
3,0.128,95
4,0.8316,92
5,0.0,122
6,0.0,100
7,0.0,95
8,0.8316,92
9,0.8316,92
10,0.8316,92
11,0.8316,92
12,0.8316,92
13,0.8316,92
14,0.8316,92
15,0.8316,92
16,0.0,122
17,0.8316,92
18,0.8316,92
19,0.0,97
20,0.8316,92
21,0.8316,92
22,0.8316,92
23,0.8316,92
24,0.8316,92
25,0.8316,92
26,0.8316,92
27,0.8316,92
28,0.8316,92
29,0.3182,71
30,0.8316,92
31,0.0,67
32,0.0,97
33,0.8316,92
34,0.8316,92
35,0.0,103
36,0.8316,92
37,0.8316,92
38,0.8316,92
39,0.2023,87
40,0.0,122
41,0.8316,92
42,0.8316,92
43,0.8316,92
44,0.8316,92
45,0.8316,92
46,0.8316,92
47,0.8316,92
48,0.2023,87
49,0.0,101
50,0.8316,92
51,0.0,122
52,0.8316,92
53,0.8316,92
54,0.8316,92
55,0.8316,92
56,0.8316,92
57,0.8316,92
58,0.0,116
59,0.8316,84
60,0.2023,87
61,0.2023,87
62,0.0,122
63,0.0,100
64,0.0,98
65,0.0,85
66,0.0,69
67,0.0,82
68,0.0,50
69,0.0,122
70,0.0,122
71,0.0,100
72,0.0,69
73,0.0,91
74,0.0,122
75,0.7003,79
76,0.0,27
77,0.0,97
78,0.0,98
79,0.0,122
80,0.4404,108
81,0.4404,97
82,0.0,97
83,0.0,67
84,0.0,94
85,0.0,50
86,0.128,95
87,0.0,122
88,0.0,106
89,0.0,122
90,0.0,95
91,0.0,50
92,0.0,100
93,-0.2263,111
94,0.0,77
95,0.0,95
96,0.0,122
97,0.0,122
98,0.0,122
99,0.0,122
100,0.0,40
101,0.0,95
102,0.0,99
103,0.0,98
104,0.0,97
105,0.0,94
106,0.0,98
107,0.0,97
108,0.0,85
109,0.0,122
110,0.0,122
111,0.0,122
112,0.0,122
113,0.0,122
114,0.0,122
115,0.0,122
116,0.4019,95
117,0.0,97
118,0.0,122
119,0.0,122
120,-0.4767,98
121,0.0,122
122,0.0,122
123,0.0,97
124,0.0,88
125,0.0,98
126,0.0,105
127,0.0,122
128,0.128,95
129,0.0,97
130,0.0,98
131,0.0,122
132,0.0,122
133,0.0,97
134,-0.4767,100
135,0.0,69
136,0.0,122
137,0.4019,95
138,0.0,122
139,0.0,82
140,0.0,122
141,0.0,122
142,0.0,104
143,0.4019,95
144,0.0,97
145,0.0,69
146,0.0,122
147,0.0,122
148,0.0,122
149,0.0,111
150,0.128,95
151,0.34,108
152,0.0,122
153,0.0,110
154,0.0,96
155,0.0,100
156,0.0,98
157,0.0,67
158,0.0,104
159,0.0,101
160,0.0,67
161,0.0,97
162,0.0,98
163,0.0,98
164,0.0,104
165,0.0,97
166,0.0,97
167,0.0,99
168,0.0,95
169,0.0,95
170,0.0,109
171,0.0,98
172,0.0,79
173,0.0,98
174,0.7269,103
175,0.0258,117
176,0.5423,116
177,0.6369,97
178,0.0,104
179,0.0,100
180,0.0,85
181,-0.2263,111
182,0.0,77
183,0.0,97
184,0.0,98
185,0.0258,121
186,0.0258,121
187,0.0,104
188,0.0,98
189,0.0,53
190,0.0,98
191,0.0,97
192,0.7089,107
193,0.0,98
194,0.0,98
195,0.0,85
196,0.0,98
197,0.0,107
198,0.0,98
199,0.0,21
200,0.0,100
201,0.0,96
202,0.0,97
203,0.0,95
204,0.7269,103
205,0.0,95
206,0.0,95
207,0.0,97
208,0.0,95
209,0.2472,109
210,0.0,97
211,0.2023,87
212,0.2023,87
213,0.0,106
214,0.7269,103
215,0.0,94
216,0.2023,87
217,0.0,94
218,0.2023,87
219,0.0,104
220,0.0,94
221,0.0,97
222,0.0,95
223,0.0,96
224,0.0,104
225,0.0,100
226,0.0,100
227,0.0,85
228,0.7003,83
229,0.0,88
230,0.7003,83
231,0.0,94
232,0.7003,83
233,0.0,106
234,0.0,100
235,0.0,67
236,0.5423,116
237,-0.2263,111
238,0.0,77
239,0.0,97
240,0.0,106
241,0.0,106
242,0.0,95
243,0.0,99
244,0.0,99
245,0.0,92
246,0.4019,95
247,0.0,98
248,0.8479,101
249,0.128,114
250,0.0,99
251,0.0,97
252,0.0,80
253,0.0,98
254,0.0,115
255,0.0,108
256,0.0,106
257,0.0,93
258,0.0,97
259,0.128,86
260,0.0,100
261,0.0,100
262,0.0,91
263,0.0,97
264,0.0,99
265,0.0,92
266,0.0,92
267,0.0,97
268,0.0,104
269,0.0,92
270,0.0,100
271,0.0,85
272,0.2023,71
273,0.0,94
274,0.0,95
275,0.0,94
276,0.0,94
277,0.0,100
278,0.0,79
279,0.0,113
280,0.6705,81
281,0.0,109
282,0.0,91
283,0.0,99
284,0.0,97
285,0.0,80
286,0.0,99
287,0.0,100
288,0.0,86
289,0.0,96
290,0.0,92
291,0.6705,81
292,0.0,106
293,0.3818,102
294,0.0,97
295,0.0,100
296,0.6705,81
297,0.0,99
